x, y, z, Activity
6,-2.226803,-23,NONE
-3,-2.240913,-22,NONE
-2,-2.240913,-22,NONE
-1,-2.240913,-22,NAV_NODE
0,-2.240913,-22,NAV_NODE
1,-2.225233,-22,NAV_NODE
2,-2.209552,-22,NAV_NODE
3,-2.193871,-22,NAV_NODE
4,-2.180916,-22,NAV_NODE
5,-2.228422,-22,NAV_NODE
6,-2.230426,-22,NONE
-3,-2.240913,-21,NONE
-2,-2.240913,-21,NONE
-1,-2.240913,-21,NAV_NODE
0,-2.240913,-21,NAV_NODE
1,-2.225233,-21,NAV_NODE
2,-2.209552,-21,NAV_NODE
3,-2.193871,-21,NAV_NODE
4,-2.17819,-21,NAV_NODE
5,-2.216325,-21,NAV_NODE
6,-2.23405,-21,NONE
-3,-2.240913,-20,NONE
-2,-2.240913,-20,NONE
-1,-2.240913,-20,NAV_NODE
0,-2.240913,-20,NAV_NODE
1,-2.225233,-20,NAV_NODE
2,-2.209552,-20,NAV_NODE
3,-2.193871,-20,NAV_NODE
4,-2.17819,-20,NAV_NODE
5,-2.204226,-20,NAV_NODE
6,-2.237673,-20,NONE
-3,-2.240913,-19,NONE
-2,-2.240913,-19,NONE
-1,-2.240913,-19,NAV_NODE
0,-2.240913,-19,NAV_NODE
1,-2.225233,-19,NAV_NODE
2,-2.209552,-19,NAV_NODE
3,-2.193871,-19,NAV_NODE
4,-2.17819,-19,NAV_NODE
5,-2.192129,-19,NAV_NODE
6,-2.239635,-19,NONE
-3,-2.240913,-18,NONE
-2,-2.240913,-18,NONE
-1,-2.240913,-18,BI_EDGE
0,-2.240913,-18,NAV_NODE
1,-2.225233,-18,NAV_NODE
2,-2.209552,-18,NAV_NODE
3,-2.193871,-18,NAV_NODE
4,-2.17819,-18,NAV_NODE
5,-2.180031,-18,NONE
6,-2.227537,-18,NONE
-3,-2.240913,-17,NONE
-2,-2.240913,-17,BI_EDGE
-1,-2.240913,-17,BI_EDGE
0,-2.240913,-17,BI_EDGE
1,-2.225233,-17,BI_EDGE
2,-2.209552,-17,BI_EDGE
3,-2.193871,-17,NONE
4,-2.17819,-17,NONE
5,-2.167933,-17,NONE
6,-2.215439,-17,NONE
-3,-2.240913,-16,NONE
-2,-2.240913,-16,BI_EDGE
-1,-2.240913,-16,GROUP_NAV_NODE
0,-2.240418,-16,BI_EDGE
1,-2.225233,-16,BI_EDGE
2,-2.209552,-16,NONE
3,-2.193871,-16,NONE
4,-2.17819,-16,NONE
5,-2.16251,-16,NONE
6,-2.203341,-16,NONE
-3,-2.240906,-15,NONE
-2,-2.240913,-15,GROUP_NAV_NODE
0,-2.238422,-15,NONE
1,-2.225227,-15,NONE
2,-2.209548,-15,NONE
3,-2.19387,-15,NONE
4,-2.178191,-15,NONE
5,-2.162513,-15,NONE
6,-2.19518,-15,NONE
